lt,.1
tyv,1097
loz,16
gl,609909
be-tarask,104085
fj,894
sc,40878
enm,1
bjn,2442
lv,401801
hi-latn,11
hindko,1
dav,291
yo,156792
ja-jp,60
frr,17291
vi,3718550
sma,64
ug,6334
egy-latn,2
en-x-simple,25247
te,234841
arbd,2
ba,152838
roh,5
ono,1
mfe,291
ebu,291
kaa,1411
ks,1333
cdc-latn,3
zh-latn-pinyin-x-notone,15187
kk-cn,11270
io,163619
ko-kp,28
ara,225
fi,1941107
gan,16561
fa-latn-x-middle,4
de,34550869
hak,6111
kir,1
iri,26
tag,1
eml,4061
qqq-729,1
tt-cyrl,31
abb,1
teo,291
ny,979
scn,44787
lu,290
krc,4218
frs,7
grp,29
ses,291
cmn-hans,11
mzn,13268
isl,1
mgh,202
kbd,2947
en-us,549627
pli,6
kab,5734
lkt,2
nov,3630
gn,7124
ta-latn,1
khq,291
ab,2528
ber-latn-x-dialect,3
pt-br,87581
ksf,291
ace,3330
cgg,289
chi,33
kv,16087
sco,73191
pau,5
kk-cyrl,66830
tg,81470
se,22997
ceb,1345617
aa,133
arb,221
x-other,3
stq,4415
ho,41
mlt,2
hbo,27
osar,3
min,238412
ce,171920
ruq-latn,15
bcc,18
fr-ch,553
ug-arab,19
my,103290
ku,179578
sal,1
x-khasian,1
sd,1508
icao,611
gmh,1
arc,3946
kk-tr,11272
srn,3045
byn,289
avk,25
fas,3
nv,7928
mt,24751
fr-x-nrm,17538
il,2
xmn,13
ve,673
roa-rup,2
ta,320357
cps,44
pdt,61
tly,17
etruscan-in-latin-characters,3
x-highgerm,1
aeb,12
hun,63
lij,17379
da,2451914
hif-latn,20
rup,9675
mis-x-rip,3877
da-dk,14
asyr,22
ms,1034123
bat-smg,46
ko,2086486
ger,593
ik,1843
hi,489429
xh,1608
it-x-tara,7053
crh-latn,5155
cmn,1019
est,6
vls,23518
cor,1
yid,3
jrb,1
may,4
ber-latn,1
fro,5
tuk,2
ruq,18
lt,869078
,418308
kr,83
en-uk,137
jp,43
in,99548
fr-lu,553
nor,6
gsw-fr,102
raj,2
sa,26719
pap,4930
als,103
ksb,290
sgs,13652
cos,5
bnt,3
roa-tara,1
yav,290
cmn-hant,1019
frp,17153
dje,290
grm,35
ee,2276
ca,2258123
rof,291
us-us,1942
pol,71
kde,291
crh-cyrl,15
ko-kr,15
he-latn,14
bpy,29638
asa,289
jgo,111
bbc-latn,34
shi-tfng,16
sah,12126
mua,291
gla,2
ar-latn,7
sv-se,4
shi-latn,307
ff,1314
bo-latn,5
zh-tw,72475
fao,1
tum,378
rus,95
twq,291
pa-arab,25
chok,1
nr,20
az-cyrl,39
sei,47
ln,6158
sa-latn,18
kl,6891
nap,35495
mas,291
vot,16
akk,89
ary,25
va,1
per,4
itd,2
de-at,14622
en-gn,1
kea,462
map-bms,7
x-apes,68
kaz,2
kk,802283
dan,21
ig,2352
he,905554
fa,3361314
pt-pt,553
ku-arab,6031
ira,1
arz,17728
os,31230
ike-cans,83
mo,5330
botanical,194
naq,291
aln,393
zh,4404863
es-ar,554
akl,1
cpp,1
lzh,9847
roa,2
fr-ca,560
zh-latn-wadegile,15216
srd,1
zh-mo,5089
uzn,46
lmo,50333
kj,48
rum,14
syr,15
mr,227277
mrw,2
hit,19
kn,92744
iku,2
geo,1
yi,61492
frk,1
pal,1
aii,43
ua,18
vai-latn,290
brx,898
spa,246
fur,21691
iata,424
ii,129
non,5
gag,2732
ge,5
ice,1
lih,1
az,530437
rwr,2
egy,25
vec,36943
lo,23227
cze,32
km,11546
pam,10142
ukr,16
cop,15
ay,8398
lt-x,134
eng,8293
x-aramaic-latn,2
tg-latn,3363
gd,91250
cat,116
pro,3
kk-latn,66533
sdc,16
uig,1
nl-be,1
xmf,9703
fre,1
mao,1
dz,1213
en-in,2
war,1414033
kk-arab,66535
cana,10
bg-bg,1
fit,1722
mk,1233418
hin,4
li,50246
kg,31250
ha,1841
vie,18
aze,1
hsb,18024
grc,949
ita,363
ty,2694
sw,185431
ru,6825355
pag,2802
nds,60391
la-x-medieval,2
zh-latn,42
peo,7
zsm,509
zh-min-nan,33
kk-kz,11298
map,1
rmy,889
bu,3
esk,3
tzm,292
as,12187
dtp,17
baq,36
kor,7
nl,9732190
kkj,23
qqq-142,1
gcf,390
ja-latn,105
cbk-x-zam,3191
scc,5
pt,4581547
or,31578
ltz,1
np,30
zxx,208
mn,43183
gan-hans,1726
lat,436
rgn,3365
dut,101
zh-yue,25
ypk,1
wa,105157
nan,16230
fiu-vro,9
nld,1
pnb,34068
ckb,50031
enb,1
nnh,37
zh-hans,246757
av,5052
ki,1300
bar,33713
ie,35252
ga,189145
bez,291
cbk-zam,3
rw,5540
qu,119425
ps,11051
seh,290
no,1055551
gan-hant,1678
mar,1
anp,26
new,73876
ca-valencia,2
gre,57
slv,12
srb,1
cy,342747
nmg,291
mis-x-tokipona,309
be-x-old,73
lav,5
ku-latn,6190
nds-nl,32511
nn,2243402
bs-cyrl,923
kln,291
fa-latn,1
ml,251465
en-ca,166713
bas,289
kh,1
id,1741696
mon,2
nah,10662
za,1719
oci,16
cai,2
cbk,5
x-notation,155186
cdo,2692
slo,7
st,4143
wuu,7059
pfl,2643
br,336688
aeb-latn,1
xur,3
lan,3
es-co,553
swe,53
cpf,1
ja,4615333
qug,17
heb,119
dum,1
mla,1
dv,6352
en-dsrt,509
ss,1271
mg,306438
bla,1
mus,22
nai,1
tig,290
qqq-19,1
de-x-formal,36
tu,1
cs,1790372
ast,47801
x-stdgerm,1
xog,290
rue,6229
ale,1
zh-hant,260996
none,4
szl,7006
arq,13
fy,150638
ewo,291
tt,248921
sr,1548817
pl,4905060
xal,3937
shi,308
frc,3849
uz,723710
azb,25
sv,8286756
ia,107455
x-hindusta-latn,1
cv,110418
ar,2015153
fkv,455
om,1521
chy,907
mi,6991
ilo,18098
hil,42
lg,940
es-cl,553
tw,1451
su,87154
rs,1
ext,3519
es-gt,1
nl-x-informal,138
man,1
sr-latn,110911
tg-cyrl,65
xlc,2
es-pe,553
swh,605
lez,3175
syl,1
rwk,291
cu,6552
prg,3365
bs,375376
zh-hk,225266
luy,291
kbd-cyrl,15
nso,3471
mh,78
nrm,118
nus,117
knn,158
fil,14531
kam,291
bcl,6489
en-ie,62
it-ch,553
post,5975
ssy,24
et,697149
bn,459094
koi,5551
jpn,15
ne,326938
hif,10283
la,1344621
hz,44
hrx,19
xhu,1
so,9928
tib,8
rm,50833
pi,5580
zho,12
egl,26
vro,4956
en-gb,180983
tru,16
es,12223433
haw,6001
co,45263
niu,15
bm,8362
ak,2093
arm,5
mrj,7539
nd,292
xna,1
aus,3
hy,568236
ur,334464
tha,1
sn,4186
lus,15
mai,602
pcd,17731
fin,33
ber,1
phn,5
cr,758
an,255900
swb,2
wal,161
crh,149
ks-arab,16
bqi,23
ka,457819
el-latn,26
mnc,1
nob,1
arn,78
ts,1187
es-sp,15
tcy,26
sq,307169
gms,9
qqq-002,58
ro,1615738
zh-classical,18
link,5937
alb,2
ng,111
vmf,7311
x-byzantin-latn,1
eu,958925
bo,9138
sr-el,367
n,1
am,49506
mer,291
en-au,45
swc,292
grc-latn-x-liturgic,2
jv-x-bms,19095
lb,270605
ang,4822
zh-my,4580
ru-latn,6
bur,1
elx,3
tr,1577692
ug-latn,17
sp,5
rn,1358
paa,2
cpe,1
bel,1
mgo,25
cho,37
pnt,632
jmc,291
wae,464
fr,14746977
liv,71
mly,531
khw,15
sk,1156056
ruq-cyrl,16
glk,1306
oc,521874
na,3921
uzn-latn,45
en-latn,212
mac,2
jv-x,7
bre,105
de-ch,70547
jut,19
bem,67
bi,1325
jbo,2036
jam,3382
mhr,7071
lag,291
pms,94703
afr,11
iw,100486
hu,1527146
vai,290
carnaval,580
eo,1086538
wen,3
tl,3125126
ike-latn,84
krl,1
bul,22
luo,291
bxr,2370
kur,1
dsb,7963
smj,1
ben,1
welsh,1
gv,23475
pox,1
zh-sg,61672
gom-latn,4
cn,521
dyo,174
ks-deva,15
sat,17
tt-latn,19
jalt,1
sli,60
to,2820
x-gams,30
rif,23
sm,1084
lzz,28
kal,4
diq,13758
chr,1073
gu,97123
es-mx,553
qwe,1
cad,5
hau,1
nb,2369210
nl-nl,3526
sr-cyrl,96478
myv,4036
pdc,2416
got,770
tn,1449
sl,829445
brh,190
por,42
tur,44
el,532899
kiu,18
e,1
ch,611
grc-latn,6
dua,23
lrc,1
ind,8
ltg,1418
ksh,565
jv,262085
taj,1
it,11078223
udm,4347
hr,1152773
wo,33275
zh-cn,817413
sdt,1
uk,2502559
scr,24
sbp,291
ti,1020
fr_1793,7
sg,1013
sr-ec,367
pa,112453
glg,5
bug,16747
zh-latn-pinyin,28
zu,32493
bho,25
be,643846
uzn-arab,23
bbc,1
zea,4716
kw,9079
san,19
is,279155
tet,1204
th,671376
mwl,4762
"",184372821
lbe,1523
mdf,2191
tpi,2203
rom,32
guz,291
snh,1
agq,291
zh-latn-pinyin-x-hanyu,15230
baby,2
bh,7292
lit,8
af,235741
lfn,63
x-local,24
ht,218330
gr,31
bej,1
en,66935781
tk,17294
si,24714
abbr,96
kri,15
yue,45601
nyn,291
csb,5041
lad,4239
gsw,58449
pih,1105
vo,678524
vun,291
fr-fr,194
dk,1
bg,898695
tr-latn,11
sux,3
turk,1
la-x-liturgic,4
ota,225
ky,71794
ko-latn,10
iu,1203
wel,9
fo,35989
tam,4
saq,291
vep,7525
sh,327948
inh,23
krj,17
simple,175
und,13
fry,4
